"full_name","id","run_uuid","created_at","updated_at","repository_id","period_start_date","period_end_date","previous_period_start_date","previous_period_end_date","interval_weeks","sticky_metric_score","magnet_metric_score","oss_category","Transition","SIG change","developers_new_current_period","developers_total","developers_with_contributions_previous_period","developers_with_contributions_current_period","developers_with_contributions_previous_and_current_period","issues_count_current_period","issues_count_total","stargazers_count_current_period","stargazers_count_total","pull_requests_count_current_period","pull_requests_count_total","forks_count_current_period","forks_count_total","checkout_sha",,"bugs_current_period","bugs_total","bugs_closed_current_period","bugs_closed_total","support_current_period","support_total","support_closed_current_period","support_closed_total","total_loc","total_kloc","total_lines","sig_volume_ranking","sig_volume_ranking_numeric","loc_complexity_per_risk","percentage_complexity_per_risk","loc_unit_size_per_risk","percentage_unit_size_per_risk","sig_complexity_ranking","sig_complexity_ranking_value","sig_unit_size_ranking","sig_unit_size_ranking_value","duplication_line_count","duplication_block_count","duplication_percentage","sig_duplication_ranking","sig_duplication_ranking_numeric","sig_analysability_ranking","sig_analysability_ranking_numeric","sig_changeability_ranking","sig_changeability_ranking_numeric","sig_testability_ranking","sig_testability_ranking_numeric","sig_overall_ranking_numeric","issues_average_duration_days","comments_total","comments_relevant_percentage","comments_relevant","comments_relevant_loc","comments_copyright","comments_copyright_loc","comments_auxiliary","comments_auxiliary_loc","comments_loc","comments_percentage","sig_comments_ranking","sig_comments_ranking_numeric","sig_analysability_ranking_no_unit_tests","sig_changeability_ranking_no_unit_tests","sig_testability_ranking_no_unit_tests","sig_overall_ranking_numeric_no_unit_tests","prev_sig_analysability_ranking_no_unit_tests","prev_sig_changeability_ranking_no_unit_tests","prev_sig_testability_ranking_no_unit_tests","prev_sig_overall_ranking_numeric_no_unit_tests","prev_oss_category","full_name"
"mc1arke/sonarqube-community-branch-plugin",209,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:46","2024-01-25 23:46",7754,2019-01-01,2019-07-02,2018-07-03,2019-01-01,26,0,1,"Fluctuating",,,5,5,0,5,0,24,24,94,94,7,7,22,22,"a2507a1115613680388a465c44893a33563a21b6",,6,6,6,6,4,4,4,4,879,1,1331,"++",5,"low: 593 *** moderate: 0 *** high: 0 *** very_high: 0 ***","low: 67.463 *** moderate: 0 *** high: 0 *** very_high: 0 ***","low: 593 *** moderate: 0 *** high: 0 *** very_high: 0 ***","low: 67.463 *** moderate: 0 *** high: 0 *** very_high: 0 ***","++",5,"++",5,16,4,"1,82","++",5,"+",5,"++",5,"+",5,5,"2,4583",55,27,15,40,35,413,5,5,458,34,"+",4,5,5,5,5,,,,,,"mc1arke/sonarqube-community-branch-plugin"
"mc1arke/sonarqube-community-branch-plugin",210,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:46","2024-01-25 23:46",7754,2019-07-02,2019-12-31,2019-01-01,2019-07-02,26,"0,4","0,66666667","Attractive","Fluctuating -> Attractive","DOWN",10,15,5,12,2,35,59,152,246,13,20,28,50,"ce99b0832bc6702a3db549576cf318f640d9cc0b",,5,11,5,11,4,8,4,8,1683,2,2575,"++",5,"low: 1158 *** moderate: 0 *** high: 0 *** very_high: 0 ***","low: 68.806 *** moderate: 0 *** high: 0 *** very_high: 0 ***","low: 1050 *** moderate: 0 *** high: 108 *** very_high: 0 ***","low: 62.389 *** moderate: 0 *** high: 6.417 *** very_high: 0 ***","++",5,"++",5,16,4,"0,95","++",5,"+",5,"+",4,"+",4,4,"6,2245",85,25,21,72,58,821,6,6,899,35,"o",3,5,4,5,5,5,5,5,5,"Fluctuating","mc1arke/sonarqube-community-branch-plugin"
"mc1arke/sonarqube-community-branch-plugin",211,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:46","2024-01-25 23:46",7754,2019-12-31,2020-06-30,2019-07-02,2019-12-31,26,"0,58333333","0,71698113","Attractive","Attractive -> Attractive","UP",38,53,12,45,7,142,201,204,450,60,80,75,125,"79f6c5a99d7576fcf9a9040d3f02221cf2aaf596",,44,55,44,55,8,16,8,16,4143,4,6043,"++",5,"low: 2611 *** moderate: 87 *** high: 0 *** very_high: 0 ***","low: 63.022 *** moderate: 2.1 *** high: 0 *** very_high: 0 ***","low: 2325 *** moderate: 97 *** high: 189 *** very_high: 87 ***","low: 56.119 *** moderate: 2.341 *** high: 4.562 *** very_high: 2.1 ***","++",5,"++",5,49,16,"1,18","++",5,"+",5,"++",5,"+",5,5,"25,25",145,17,25,50,115,1853,5,5,1908,32,"+",4,5,5,5,5,5,4,5,5,"Attractive","mc1arke/sonarqube-community-branch-plugin"
"mc1arke/sonarqube-community-branch-plugin",212,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:46","2024-01-25 23:46",7754,2020-06-30,2020-12-29,2019-12-31,2020-06-30,26,"0,13333333","0,24285714","Fluctuating","Attractive -> Fluctuating","SAME",17,70,45,23,6,88,289,214,664,26,106,64,189,"d5232b4c15751432b57dcf931f2673ccb48f8c91",,34,89,34,89,3,19,3,19,5578,6,7908,"++",5,"low: 3529 *** moderate: 89 *** high: 0 *** very_high: 0 ***","low: 63.266 *** moderate: 1.596 *** high: 0 *** very_high: 0 ***","low: 3015 *** moderate: 168 *** high: 346 *** very_high: 89 ***","low: 54.052 *** moderate: 3.012 *** high: 6.203 *** very_high: 1.596 ***","++",5,"++",5,52,17,"0,93","++",5,"+",5,"++",5,"+",5,5,"33,4689",247,44,109,300,126,2036,12,12,2348,30,"+",4,5,5,5,5,5,5,5,5,"Attractive","mc1arke/sonarqube-community-branch-plugin"
"mc1arke/sonarqube-community-branch-plugin",213,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:46","2024-01-25 23:46",7754,2020-12-29,2021-06-29,2020-06-30,2020-12-29,26,"0,13043478","0,13580247","Fluctuating","Fluctuating -> Fluctuating","SAME",11,81,23,14,3,72,361,227,891,16,122,58,247,"375905460e7ce66cdd9dbcd00334f227816efe23",,36,125,36,125,1,20,1,20,5463,5,7681,"++",5,"low: 3545 *** moderate: 93 *** high: 0 *** very_high: 0 ***","low: 64.891 *** moderate: 1.702 *** high: 0 *** very_high: 0 ***","low: 2975 *** moderate: 168 *** high: 402 *** very_high: 93 ***","low: 54.457 *** moderate: 3.075 *** high: 7.359 *** very_high: 1.702 ***","++",5,"++",5,39,14,"0,71","++",5,"+",5,"++",5,"+",5,5,"50,119",240,45,109,314,119,1910,12,12,2236,29,"+",4,5,5,5,5,5,5,5,5,"Fluctuating","mc1arke/sonarqube-community-branch-plugin"
"mc1arke/sonarqube-community-branch-plugin",214,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:46","2024-01-25 23:46",7754,2021-06-29,2021-12-28,2020-12-29,2021-06-29,26,"0,21428571","0,08988764","Fluctuating","Fluctuating -> Fluctuating","SAME",8,89,14,14,3,124,485,209,1100,56,178,33,280,"dc99260fec46c8f90ffb2c0a1d5d65a58662a63e",,50,175,50,175,6,26,6,26,6253,6,9111,"++",5,"low: 3966 *** moderate: 24 *** high: 0 *** very_high: 0 ***","low: 63.426 *** moderate: 0.384 *** high: 0 *** very_high: 0 ***","low: 3659 *** moderate: 78 *** high: 253 *** very_high: 0 ***","low: 58.516 *** moderate: 1.247 *** high: 4.046 *** very_high: 0 ***","++",5,"++",5,35,12,"0,56","++",5,"+",5,"++",5,"+",5,5,"42,757",240,31,75,253,157,2609,8,8,2870,32,"+",4,5,5,5,5,5,5,5,5,"Fluctuating","mc1arke/sonarqube-community-branch-plugin"
"mc1arke/sonarqube-community-branch-plugin",215,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:46","2024-01-25 23:46",7754,2021-12-28,2022-06-28,2021-06-29,2021-12-28,26,"0,21428571","0,11","Fluctuating","Fluctuating -> Fluctuating","SAME",11,100,14,14,3,99,584,201,1301,43,221,43,323,"d1ebf815424e85c68b513fd33d357d8f781cb099",,44,219,44,219,5,31,5,31,6984,7,10108,"++",5,"low: 4343 *** moderate: 65 *** high: 0 *** very_high: 0 ***","low: 62.185 *** moderate: 0.931 *** high: 0 *** very_high: 0 ***","low: 4029 *** moderate: 200 *** high: 179 *** very_high: 0 ***","low: 57.689 *** moderate: 2.864 *** high: 2.563 *** very_high: 0 ***","++",5,"++",5,76,18,"1,09","++",5,"+",5,"++",5,"+",5,5,"43,0524",250,28,69,231,173,2897,8,8,3136,31,"+",4,5,5,5,5,5,5,5,5,"Fluctuating","mc1arke/sonarqube-community-branch-plugin"
"mc1arke/sonarqube-community-branch-plugin",216,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:46","2024-01-25 23:46",7754,2022-06-28,2022-12-27,2021-12-28,2022-06-28,26,"0,28571429","0,0990991","Attractive","Fluctuating -> Attractive","SAME",11,111,14,15,4,61,645,223,1524,26,247,43,366,"a1f28e5df23117517fb9656af36119cdeb7b23b1",,30,249,29,248,1,32,1,32,7233,7,10479,"++",5,"low: 4481 *** moderate: 65 *** high: 0 *** very_high: 0 ***","low: 61.952 *** moderate: 0.899 *** high: 0 *** very_high: 0 ***","low: 4163 *** moderate: 200 *** high: 183 *** very_high: 0 ***","low: 57.556 *** moderate: 2.765 *** high: 2.53 *** very_high: 0 ***","++",5,"++",5,87,20,"1,2","++",5,"+",5,"++",5,"+",5,5,"42,4522",256,27,68,230,180,3020,8,8,3258,31,"+",4,5,5,5,5,5,5,5,5,"Fluctuating","mc1arke/sonarqube-community-branch-plugin"
"jchambers/pushy",217,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:48","2024-01-25 23:48",7825,2019-01-01,2019-07-02,2018-07-03,2019-01-01,26,"0,28571429","0,03896104","Stagnant",,,3,77,7,5,2,42,706,89,984,11,283,21,266,"1f2b1771484040ee1ff2379d7f2c6e95b26cea5c",,4,75,4,75,0,78,0,78,4007,4,7830,"++",5,"low: 2550 *** moderate: 142 *** high: 305 *** very_high: 0 ***","low: 63.639 *** moderate: 3.544 *** high: 7.612 *** very_high: 0 ***","low: 2091 *** moderate: 444 *** high: 344 *** very_high: 118 ***","low: 52.184 *** moderate: 11.081 *** high: 8.585 *** very_high: 2.945 ***","o",3,"++",5,58,10,"1,45","++",5,"+",5,"+",4,"+",4,4,"30,5328",380,73,278,2170,95,1650,7,7,3827,49,"o",3,5,4,4,4,,,,,,"jchambers/pushy"
"jchambers/pushy",218,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:48","2024-01-25 23:48",7825,2019-07-02,2019-12-31,2019-01-01,2019-07-02,26,"0,4","0,0375","Stagnant","Stagnant -> Stagnant","SAME",3,80,5,5,2,28,734,104,1088,6,289,18,284,"1254c1a2091a44fe3f89c034fc98af268c5841f8",,3,78,3,78,0,78,0,78,4096,4,8089,"++",5,"low: 2588 *** moderate: 149 *** high: 321 *** very_high: 0 ***","low: 63.184 *** moderate: 3.638 *** high: 7.837 *** very_high: 0 ***","low: 2129 *** moderate: 451 *** high: 276 *** very_high: 202 ***","low: 51.978 *** moderate: 11.011 *** high: 6.738 *** very_high: 4.932 ***","o",3,"+",4,57,10,"1,39","++",5,"+",4,"+",4,"o",3,4,"29,8741",394,74,291,2319,96,1671,7,7,3997,49,"o",3,4,4,4,4,5,4,4,4,"Stagnant","jchambers/pushy"
"jchambers/pushy",219,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:48","2024-01-25 23:48",7825,2019-12-31,2020-06-30,2019-07-02,2019-12-31,26,"0,4","0,01234568","Stagnant","Stagnant -> Stagnant","SAME",1,81,5,5,2,55,789,86,1174,31,320,30,314,"e40a73fb604668b5af2efba8db8967d20fa2e893",,2,80,2,80,0,78,0,78,4729,5,9482,"++",5,"low: 2836 *** moderate: 349 *** high: 291 *** very_high: 0 ***","low: 59.97 *** moderate: 7.38 *** high: 6.154 *** very_high: 0 ***","low: 2478 *** moderate: 476 *** high: 267 *** very_high: 255 ***","low: 52.4 *** moderate: 10.066 *** high: 5.646 *** very_high: 5.392 ***","o",3,"+",4,85,28,"1,8","++",5,"+",4,"+",4,"o",3,4,"34,8054",496,76,378,2920,107,1831,11,11,4762,50,"o",3,4,4,4,4,4,4,4,4,"Stagnant","jchambers/pushy"
"jchambers/pushy",220,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:48","2024-01-25 23:48",7825,2020-06-30,2020-12-29,2019-12-31,2020-06-30,26,"0,2","0,05813953","Terminal","Stagnant -> Terminal","SAME",5,86,5,6,1,48,837,105,1279,11,331,27,341,"a3f3e908006785312c01fcb706f018074e8a041d",,2,82,2,82,0,78,0,78,4735,5,9488,"++",5,"low: 2842 *** moderate: 349 *** high: 291 *** very_high: 0 ***","low: 60.021 *** moderate: 7.371 *** high: 6.146 *** very_high: 0 ***","low: 2482 *** moderate: 478 *** high: 267 *** very_high: 255 ***","low: 52.418 *** moderate: 10.095 *** high: 5.639 *** very_high: 5.385 ***","o",3,"+",4,85,28,"1,8","++",5,"+",4,"+",4,"o",3,4,"33,6066",496,76,378,2920,107,1831,11,11,4762,50,"o",3,4,4,4,4,4,4,4,4,"Stagnant","jchambers/pushy"
"jchambers/pushy",221,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:48","2024-01-25 23:48",7825,2020-12-29,2021-06-29,2020-06-30,2020-12-29,26,"0,16666667","0,05494505","Terminal","Terminal -> Terminal","SAME",5,91,6,6,1,50,887,106,1385,17,348,25,366,"33aeacdda95dc45c3cd362ef8e89b3f0486a5201",,2,84,2,84,0,78,0,78,4733,5,9560,"++",5,"low: 2896 *** moderate: 349 *** high: 225 *** very_high: 0 ***","low: 61.187 *** moderate: 7.374 *** high: 4.754 *** very_high: 0 ***","low: 2495 *** moderate: 514 *** high: 206 *** very_high: 255 ***","low: 52.715 *** moderate: 10.86 *** high: 4.352 *** very_high: 5.388 ***","+",4,"+",4,79,26,"1,67","++",5,"+",4,"+",4,"+",4,4,"33,2936",512,77,393,2973,108,1852,11,11,4836,51,"o",3,4,4,4,4,4,4,4,4,"Terminal","jchambers/pushy"
"jchambers/pushy",222,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:48","2024-01-25 23:48",7825,2021-06-29,2021-12-28,2020-12-29,2021-06-29,26,"0,33333333","0,02150538","Stagnant","Terminal -> Stagnant","SAME",2,93,6,4,2,28,915,61,1446,9,357,18,384,"9ca2560ea2dc6ab393db4f3e9cdadb890ab306d8",,1,85,0,84,0,78,0,78,4834,5,9762,"++",5,"low: 2949 *** moderate: 359 *** high: 231 *** very_high: 0 ***","low: 61.005 *** moderate: 7.427 *** high: 4.779 *** very_high: 0 ***","low: 2553 *** moderate: 510 *** high: 215 *** very_high: 261 ***","low: 52.813 *** moderate: 10.55 *** high: 4.448 *** very_high: 5.399 ***","+",4,"+",4,79,26,"1,63","++",5,"+",4,"+",4,"+",4,4,"34,4575",522,77,401,3032,110,1894,11,11,4937,51,"o",3,4,4,4,4,4,4,4,4,"Terminal","jchambers/pushy"
"jchambers/pushy",223,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:48","2024-01-25 23:48",7825,2021-12-28,2022-06-28,2021-06-29,2021-12-28,26,"0,25","0,02105263","Stagnant","Stagnant -> Stagnant","SAME",2,95,4,3,1,17,932,67,1513,8,365,20,404,"77453f3aa07482e7cf22ab626a324ff680d789ad",,0,85,0,84,0,78,0,78,4799,5,9690,"++",5,"low: 2930 *** moderate: 359 *** high: 231 *** very_high: 0 ***","low: 61.054 *** moderate: 7.481 *** high: 4.814 *** very_high: 0 ***","low: 2563 *** moderate: 480 *** high: 216 *** very_high: 261 ***","low: 53.407 *** moderate: 10.002 *** high: 4.501 *** very_high: 5.439 ***","+",4,"+",4,79,26,"1,65","++",5,"+",4,"+",4,"+",4,4,"34,6729",516,77,396,3016,109,1873,11,11,4900,51,"o",3,4,4,4,4,4,4,4,4,"Stagnant","jchambers/pushy"
"jchambers/pushy",224,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:48","2024-01-25 23:48",7825,2022-06-28,2022-12-27,2021-12-28,2022-06-28,26,"0,33333333","0,04040404","Stagnant","Stagnant -> Stagnant","SAME",4,99,3,5,1,22,954,56,1569,7,372,13,417,"5862c537899381b44ec3e8b0b904fc8e07740ba1",,0,85,0,84,0,78,0,78,4854,5,9844,"++",5,"low: 2952 *** moderate: 359 *** high: 245 *** very_high: 0 ***","low: 60.816 *** moderate: 7.396 *** high: 5.047 *** very_high: 0 ***","low: 2585 *** moderate: 480 *** high: 216 *** very_high: 275 ***","low: 53.255 *** moderate: 9.889 *** high: 4.45 *** very_high: 5.665 ***","o",3,"+",4,79,26,"1,63","++",5,"+",4,"+",4,"o",3,4,"34,5938",527,77,406,3093,110,1895,11,11,4999,51,"o",3,4,4,4,4,4,4,4,4,"Stagnant","jchambers/pushy"
"aNNiMON/Lightweight-Stream-API",225,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:51","2024-01-25 23:51",7889,2019-01-01,2019-07-02,2018-07-03,2019-01-01,26,"0,5",0,"Stagnant",,,0,28,2,1,1,7,180,75,1394,3,97,11,96,"20607044d3d25b6d8b7ae3eff4b35dfd2dda608b",,0,2,0,2,0,0,0,0,9312,9,17197,"++",5,"low: 6092 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.421 *** moderate: 0.333 *** high: 0 *** very_high: 0 ***","low: 6092 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.421 *** moderate: 0.333 *** high: 0 *** very_high: 0 ***","++",5,"++",5,425,152,"4,56","+",4,"+",5,"++",5,"+",5,5,"5,6369",851,99,846,7903,0,0,5,5,7908,46,"++",5,5,5,5,5,,,,,,"aNNiMON/Lightweight-Stream-API"
"aNNiMON/Lightweight-Stream-API",226,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:51","2024-01-25 23:51",7889,2019-07-02,2019-12-31,2019-01-01,2019-07-02,26,0,0,"Terminal","Stagnant -> Terminal","SAME",0,28,1,0,0,1,181,56,1450,0,97,5,101,"20607044d3d25b6d8b7ae3eff4b35dfd2dda608b",,0,2,0,2,0,0,0,0,9312,9,17197,"++",5,"low: 6092 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.421 *** moderate: 0.333 *** high: 0 *** very_high: 0 ***","low: 6092 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.421 *** moderate: 0.333 *** high: 0 *** very_high: 0 ***","++",5,"++",5,425,152,"4,56","+",4,"+",5,"++",5,"+",5,5,"5,8667",851,99,846,7903,0,0,5,5,7908,46,"++",5,5,5,5,5,5,5,5,5,"Stagnant","aNNiMON/Lightweight-Stream-API"
"aNNiMON/Lightweight-Stream-API",227,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:51","2024-01-25 23:51",7889,2019-12-31,2020-06-30,2019-07-02,2019-12-31,26,0,0,"Terminal","Terminal -> Terminal","SAME",0,28,0,0,0,0,181,45,1495,0,97,5,106,"20607044d3d25b6d8b7ae3eff4b35dfd2dda608b",,0,2,0,2,0,0,0,0,9312,9,17197,"++",5,"low: 6092 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.421 *** moderate: 0.333 *** high: 0 *** very_high: 0 ***","low: 6092 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.421 *** moderate: 0.333 *** high: 0 *** very_high: 0 ***","++",5,"++",5,425,152,"4,56","+",4,"+",5,"++",5,"+",5,5,"5,8667",851,99,846,7903,0,0,5,5,7908,46,"++",5,5,5,5,5,5,5,5,5,"Terminal","aNNiMON/Lightweight-Stream-API"
"aNNiMON/Lightweight-Stream-API",228,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:51","2024-01-25 23:51",7889,2020-06-30,2020-12-29,2019-12-31,2020-06-30,26,0,"0,03448276","Terminal","Terminal -> Terminal","SAME",1,29,0,2,0,6,187,28,1523,2,99,5,111,"03f5674264b893ea8d31554fcab32762e3fd9b01",,0,2,0,2,0,0,0,0,9630,10,17784,"++",5,"low: 6356 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 66.002 *** moderate: 0.322 *** high: 0 *** very_high: 0 ***","low: 6356 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 66.002 *** moderate: 0.322 *** high: 0 *** very_high: 0 ***","++",5,"++",5,391,138,"4,06","+",4,"+",5,"++",5,"+",5,5,"6,2688",869,99,864,8172,0,0,5,5,8177,46,"++",5,5,5,5,5,5,5,5,5,"Terminal","aNNiMON/Lightweight-Stream-API"
"aNNiMON/Lightweight-Stream-API",229,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:51","2024-01-25 23:51",7889,2020-12-29,2021-06-29,2020-06-30,2020-12-29,26,"0,5",0,"Stagnant","Terminal -> Stagnant","SAME",0,29,2,1,1,7,194,27,1550,1,100,6,117,"8f020bc30abe69e883825c1af4b5c113695f7278",,0,2,0,2,0,0,0,0,9855,10,18175,"++",5,"low: 6410 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.043 *** moderate: 0.315 *** high: 0 *** very_high: 0 ***","low: 6410 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.043 *** moderate: 0.315 *** high: 0 *** very_high: 0 ***","++",5,"++",5,432,145,"4,38","+",4,"+",5,"++",5,"+",5,5,"14,9067",892,99,887,8338,0,0,5,5,8343,46,"++",5,5,5,5,5,5,5,5,5,"Terminal","aNNiMON/Lightweight-Stream-API"
"aNNiMON/Lightweight-Stream-API",230,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:51","2024-01-25 23:51",7889,2021-06-29,2021-12-28,2020-12-29,2021-06-29,26,0,0,"Terminal","Stagnant -> Terminal","SAME",0,29,1,1,0,2,196,22,1572,2,102,3,120,"8f020bc30abe69e883825c1af4b5c113695f7278",,0,2,0,2,0,0,0,0,9855,10,18175,"++",5,"low: 6410 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.043 *** moderate: 0.315 *** high: 0 *** very_high: 0 ***","low: 6410 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.043 *** moderate: 0.315 *** high: 0 *** very_high: 0 ***","++",5,"++",5,432,145,"4,38","+",4,"+",5,"++",5,"+",5,5,"14,8103",892,99,887,8338,0,0,5,5,8343,46,"++",5,5,5,5,5,5,5,5,5,"Stagnant","aNNiMON/Lightweight-Stream-API"
"aNNiMON/Lightweight-Stream-API",231,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:51","2024-01-25 23:51",7889,2021-12-28,2022-06-28,2021-06-29,2021-12-28,26,0,0,"Terminal","Terminal -> Terminal","SAME",0,29,1,0,0,0,196,13,1585,0,102,5,125,"8f020bc30abe69e883825c1af4b5c113695f7278",,0,2,0,2,0,0,0,0,9855,10,18175,"++",5,"low: 6410 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.043 *** moderate: 0.315 *** high: 0 *** very_high: 0 ***","low: 6410 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.043 *** moderate: 0.315 *** high: 0 *** very_high: 0 ***","++",5,"++",5,432,145,"4,38","+",4,"+",5,"++",5,"+",5,5,"14,8103",892,99,887,8338,0,0,5,5,8343,46,"++",5,5,5,5,5,5,5,5,5,"Terminal","aNNiMON/Lightweight-Stream-API"
"aNNiMON/Lightweight-Stream-API",232,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:51","2024-01-25 23:51",7889,2022-06-28,2022-12-27,2021-12-28,2022-06-28,26,0,0,"Terminal","Terminal -> Terminal","SAME",0,29,0,2,0,1,197,10,1595,1,103,1,126,"1d777f12f00595f6a50e2b0bee9d74477f2965b2",,0,2,0,2,0,0,0,0,9855,10,18175,"++",5,"low: 6410 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.043 *** moderate: 0.315 *** high: 0 *** very_high: 0 ***","low: 6410 *** moderate: 31 *** high: 0 *** very_high: 0 ***","low: 65.043 *** moderate: 0.315 *** high: 0 *** very_high: 0 ***","++",5,"++",5,432,145,"4,38","+",4,"+",5,"++",5,"+",5,5,"14,7347",892,99,887,8338,0,0,5,5,8343,46,"++",5,5,5,5,5,5,5,5,5,"Terminal","aNNiMON/Lightweight-Stream-API"
"OpenHFT/Java-Thread-Affinity",233,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:52","2024-01-25 23:52",7906,2019-01-01,2019-07-02,2018-07-03,2019-01-01,26,"0,57142857","0,11111111","Attractive",,,3,27,7,7,4,3,51,118,782,3,20,25,195,"5baf067c66b284fddc12080e4eaca6935ec8903a",,0,4,0,4,0,0,0,0,2392,2,3318,"++",5,"low: 1593 *** moderate: 69 *** high: 0 *** very_high: 0 ***","low: 66.597 *** moderate: 2.885 *** high: 0 *** very_high: 0 ***","low: 1561 *** moderate: 101 *** high: 0 *** very_high: 0 ***","low: 65.259 *** moderate: 4.222 *** high: 0 *** very_high: 0 ***","++",5,"++",5,45,7,"1,88","++",5,"+",5,"++",5,"+",5,5,"185,451",146,62,91,316,53,609,2,2,927,28,"+",4,5,5,5,5,,,,,,"OpenHFT/Java-Thread-Affinity"
"OpenHFT/Java-Thread-Affinity",234,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:52","2024-01-25 23:52",7906,2019-07-02,2019-12-31,2019-01-01,2019-07-02,26,"0,28571429","0,03571429","Stagnant","Attractive -> Stagnant","SAME",1,28,7,4,2,5,56,153,935,1,21,21,216,"d44738d991d4cf3cf9493a48a43bc02db201a0b4",,0,4,0,4,0,0,0,0,2438,2,3383,"++",5,"low: 1576 *** moderate: 130 *** high: 0 *** very_high: 0 ***","low: 64.643 *** moderate: 5.332 *** high: 0 *** very_high: 0 ***","low: 1569 *** moderate: 137 *** high: 0 *** very_high: 0 ***","low: 64.356 *** moderate: 5.619 *** high: 0 *** very_high: 0 ***","++",5,"++",5,45,7,"1,85","++",5,"+",5,"++",5,"+",5,5,"175,1481",148,63,93,335,53,609,2,2,946,28,"+",4,5,5,5,5,5,5,5,5,"Attractive","OpenHFT/Java-Thread-Affinity"
"OpenHFT/Java-Thread-Affinity",235,"215af4a5-24e9-4a5c-8a89-428cc7fc9a93","2024-01-25 23:52","2024-01-25 23:52",7906,2019-12-31,2020-06-30,2019-07-02,2019-12-31,26,"0,5","0,06666667","Attractive","Stagnant -> Attractive","SAME",2,30,4,6,2,6,62,91,1026,1,22,21,237,"d4455d0d115cd12fba379bfb3331e6f33f9d1d45",,0,4,0,4,0,0,0,0,2437,2,3405,"++",5,"low: 1576 *** moderate: 130 *** high: 0 *** very_high: 0 ***","low: 64.67 *** moderate: 5.334 *** high: 0 *** very_high: 0 ***","low: 1569 *** moderate: 137 *** high: 0 *** very_high: 0 ***","low: 64.382 *** moderate: 5.622 *** high: 0 *** very_high: 0 ***","++",5,"++",5,45,7,"1,85","++",5,"+",5,"++",5,"+",5,5,"163,7586",148,63,93,360,53,609,2,2,971,29,"+",4,5,5,5,5,5,5,5,5,"Stagnant","OpenHFT/Java-Thread-Affinity"
